semel_mosad,shem_mosad,survey_group,pikuach,migzar,rashut,rashut_teur,ses_mosad_cat_yh,ses_mosad_cat_e
110098,השחר,2,1,1,2600000,מטה יהודה,1,NULL
110106,אגרון גרשון,2,1,1,30007,ירושלים,2,NULL
110130,סאלד,1,1,1,30007,ירושלים,2,NULL
110155,בית הכרם,1,1,1,30007,ירושלים,1,NULL
110171,"תל""י גאולים ע""ש יצחק נבון",1,1,1,30007,ירושלים,2,NULL
110205,"מ""מ רחביה ע""ש דוד גו",2,1,1,30007,ירושלים,2,NULL
110270,לוריא,3,1,1,30007,ירושלים,2,NULL
110312,ארגנטינה,1,1,1,30007,ירושלים,2,NULL
110320,גואטמלה,2,1,1,30007,ירושלים,3,NULL
110445,טל חיים,1,2,1,30007,ירושלים,3,NULL
110452,יהודה הלוי,2,2,1,30007,ירושלים,2,NULL
110486,עוזיאל,3,2,1,30007,ירושלים,2,NULL
110585,מימון,2,2,1,30007,ירושלים,2,NULL
110619,א.ד.רוטשילד,1,2,1,30007,ירושלים,2,NULL
110726,מתתיהו,2,2,1,2600000,מטה יהודה,1,NULL
110734,הר טוב,2,1,1,2600000,מטה יהודה,1,NULL
111062,יפה נוף,2,1,1,30007,ירושלים,2,NULL
111096,עין הרים,2,1,1,2600000,מטה יהודה,1,NULL
111112,זלמן ארן,2,1,1,30007,ירושלים,2,NULL
111120,פסגת זאב צפון,3,1,1,30007,ירושלים,2,NULL
111179,לוי אשכול,1,1,1,26104,בית שמש,3,NULL
111195,חברון בנות,3,2,1,36111,קריית ארבע,2,NULL
111203,גבעת גונן,2,1,1,30007,ירושלים,3,NULL
111252,"ת""ת תורת אמת",2,3,1,30007,ירושלים,2,NULL
111260,"חב""ד בית חנה",3,2,1,30007,ירושלים,2,NULL
111278,מעלות דפנה יד המורה,3,1,1,30007,ירושלים,2,NULL
111294,חטיבה לגיל הצעיר,3,1,1,30007,ירושלים,1,NULL
111328,כרמי יהודה,1,2,1,7600000,גוש עציון,2,NULL
111344,הניסויי,2,1,1,30007,ירושלים,1,NULL
111351,יאנוש קורצאק,1,1,1,30007,ירושלים,2,NULL
111369,מולדת,1,1,1,10157,מבשרת ציון,2,NULL
111393,נועם בנות ק.משה,1,2,1,30007,ירושלים,2,NULL
111450,"גוונים מ""מ",3,1,1,36111,קריית ארבע,3,NULL
111500,גילה ממלכתי א,3,1,1,30007,ירושלים,2,NULL
111591,"ברנדט ממ""ד נוה יעקב",1,2,1,30007,ירושלים,3,NULL
111682,תלי בית וגן,2,1,1,30007,ירושלים,2,NULL
111690,"הרובע היהודי ממ""ד",1,2,1,30007,ירושלים,2,NULL
111708,נחלת בנימין בנים,1,2,1,7300000,מטה בנימין,2,NULL
111716,שדי חמד,3,2,1,36160,מעלה אדומים,3,NULL
111724,בית חורון,1,2,1,7300000,מטה בנימין,1,NULL
111831,פרנקל גבעת שפירא,3,1,1,30007,ירושלים,2,NULL
111849,בית-אל בנות,2,2,1,35741,בית אל,2,NULL
111864,"ת""ת מורשה",2,2,1,30007,ירושלים,2,NULL
111872,מנשה אלישר,3,1,1,30007,ירושלים,1,NULL
111898,נוה עציון בנות,3,2,1,30007,ירושלים,2,NULL
111906,גילה ממלכתי ב,2,1,1,30007,ירושלים,2,NULL
111963,נוה צוף,1,2,1,7300000,מטה בנימין,1,NULL
